Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Mail-in_ballots,Mail-in_votes,Mail-in_under_votes,Mail-in_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Provisional_ballots,Provisional_votes,Provisional_under_votes,Provisional_over_votes
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,1146,291,29,0,630,231,17,0,514,58,12,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,1146,30,29,0,630,24,17,0,514,6,12,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,1146,15,29,0,630,4,17,0,514,11,12,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,1146,804,23,0,630,349,14,0,514,455,9,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,1146,318,23,0,630,267,14,0,514,49,9,0,0,0,0,0,2,2,0,0
Ambler 3,,1,0,3,3,1377,0.83,17,17,Representative in the General Assembly 148th District,,1,57,MARY JO DALEY,C,56,DEM,1146,827,26,0,630,373,15,0,514,454,11,0,0,0,0,0,2,0,0,0
Ambler 3,,1,0,3,3,1377,0.83,17,17,Representative in the General Assembly 148th District,,1,58,ALLEN ARTHUR ANDERSON,C,57,REP,1146,293,26,0,630,242,15,0,514,49,11,0,0,0,0,0,2,2,0,0
Bridgeport 1,,1,0,4,4,861,0.71,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,611,417,1,0,389,231,1,0,222,186,0,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,611,186,1,0,389,152,1,0,222,34,0,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,611,3,1,0,389,2,1,0,222,1,0,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,611,399,12,1,389,226,11,1,222,173,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,611,167,12,1,389,132,11,1,222,35,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,611,18,12,1,389,14,11,1,222,4,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,611,14,12,1,389,5,11,1,222,9,1,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,611,372,19,0,389,210,17,0,222,162,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,611,179,19,0,389,136,17,0,222,43,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,611,26,19,0,389,20,17,0,222,6,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,611,15,19,0,389,6,17,0,222,9,2,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,611,400,17,0,389,225,14,0,222,175,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,611,154,17,0,389,123,14,0,222,31,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,611,25,17,0,389,20,14,0,222,5,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,611,15,17,0,389,7,14,0,222,8,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,611,404,15,0,389,222,12,0,222,182,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,611,192,15,0,389,155,12,0,222,37,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,9,9,Senator in the General Assembly 17th District,,1,32,AMANDA M CAPPELLETTI,C,31,DEM,611,406,17,0,389,228,14,0,222,178,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,9,9,Senator in the General Assembly 17th District,,1,33,ELLEN FISHER,C,32,REP,611,186,17,0,389,147,14,0,222,39,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,18,18,Representative in the General Assembly 149th District,,1,60,TIM BRIGGS,C,59,DEM,611,425,16,0,389,239,13,0,222,186,3,0,0,0,0,0,0,0,0,0
Bridgeport 1,,1,0,4,4,861,0.71,18,18,Representative in the General Assembly 149th District,,1,61,WILLIAM MICHAEL,C,60,REP,611,168,16,0,389,136,13,0,222,32,3,0,0,0,0,0,0,0,0,0
Bridgeport 2,,1,0,5,5,998,0.81,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,809,466,1,3,506,218,1,3,287,240,0,0,0,0,0,0,16,8,0,0
Bridgeport 2,,1,0,5,5,998,0.81,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,809,327,1,3,506,274,1,3,287,45,0,0,0,0,0,0,16,8,0,0
Bridgeport 2,,1,0,5,5,998,0.81,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,809,11,1,3,506,9,1,3,287,2,0,0,0,0,0,0,16,0,0,0
Bridgeport 2,,1,0,5,5,998,0.81,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,809,471,16,1,506,226,10,1,287,236,5,0,0,0,0,0,16,9,1,0
Bridgeport 2,,1,0,5,5,998,0.81,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,809,295,16,1,506,251,10,1,287,38,5,0,0,0,0,0,16,6,1,0
Bridgeport 2,,1,0,5,5,998,0.81,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,809,16,16,1,506,12,10,1,287,4,5,0,0,0,0,0,16,0,1,0
Bridgeport 2,,1,0,5,5,998,0.81,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,809,10,16,1,506,6,10,1,287,4,5,0,0,0,0,0,16,0,1,0
Bridgeport 2,,1,0,5,5,998,0.81,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,809,425,26,1,506,199,18,1,287,221,7,0,0,0,0,0,16,5,1,0
Bridgeport 2,,1,0,5,5,998,0.81,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,809,314,26,1,506,257,18,1,287,49,7,0,0,0,0,0,16,8,1,0
Bridgeport 2,,1,0,5,5,998,0.81,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,809,32,26,1,506,25,18,1,287,5,7,0,0,0,0,0,16,2,1,0
Bridgeport 2,,1,0,5,5,998,0.81,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,809,11,26,1,506,6,18,1,287,5,7,0,0,0,0,0,16,0,1,0
Bridgeport 2,,1,0,5,5,998,0.81,4,4,State Treasurer,,1,16,JOE TORSELLA,C,15,DEM,809,447,20,1,506,213,14,1,287,227,5,0,0,0,0,0,16,7,1,0
Bridgeport 2,,1,0,5,5,998,0.81,4,4,State Treasurer,,1,17,STACY L GARRITY,C,16,REP,809,313,20,1,506,262,14,1,287,44,5,0,0,0,0,0,16,7,1,0
Bridgeport 2,,1,0,5,5,998,0.81,4,4,State Treasurer,,1,18,JOE SOLOSKI,C,17,LIB,809,15,20,1,506,12,14,1,287,3,5,0,0,0,0,0,16,0,1,0
Bridgeport 2,,1,0,5,5,998,0.81,4,4,State Treasurer,,1,19,TIMOTHY RUNKLE,C,18,GRE,809,13,20,1,506,4,14,1,287,8,5,0,0,0,0,0,16,1,1,0
Bridgeport 2,,1,0,5,5,998,0.81,6,6,Representative in Congress 4th District,,1,24,MADELEINE DEAN,C,23,DEM,809,457,19,1,506,210,15,1,287,240,3,0,0,0,0,0,16,7,1,0
Bridgeport 2,,1,0,5,5,998,0.81,6,6,Representative in Congress 4th District,,1,25,KATHY BARNETTE,C,24,REP,809,330,19,1,506,280,15,1,287,42,3,0,0,0,0,0,16,8,1,0
Bridgeport 2,,1,0,5,5,998,0.81,9,9,Senator in the General Assembly 17th District,,1,32,AMANDA M CAPPELLETTI,C,31,DEM,809,452,29,1,506,211,21,1,287,233,5,0,0,0,0,0,16,8,3,0
Bridgeport 2,,1,0,5,5,998,0.81,9,9,Senator in the General Assembly 17th District,,1,33,ELLEN FISHER,C,32,REP,809,325,29,1,506,273,21,1,287,47,5,0,0,0,0,0,16,5,3,0
Bridgeport 2,,1,0,5,5,998,0.81,18,18,Representative in the General Assembly 149th District,,1,60,TIM BRIGGS,C,59,DEM,809,483,23,1,506,233,14,1,287,240,7,0,0,0,0,0,16,10,2,0
Bridgeport 2,,1,0,5,5,998,0.81,18,18,Representative in the General Assembly 149th District,,1,61,WILLIAM MICHAEL,C,60,REP,809,302,23,1,506,258,14,1,287,40,7,0,0,0,0,0,16,4,2,0
Bridgeport 3,,1,0,6,6,953,0.8,1,1,Presidential Electors,,1,1,JOSEPH R BIDEN,C,1,DEM,761,503,1,2,505,279,1,2,254,222,0,0,0,0,0,0,2,2,0,0
